RANKING,NIT,RAZON_SOCIAL,CODIGO_DEPARTAMENTO,DEPARTAMENTO,CODIGO_MUNICIPIO,MUNICIPIO,CIIU,DESCRIPCION_CIIU,AÑOS_EMPRESA,ACTIVOS_2023,PASIVOS_2023,PATRIMONIO_2023,INGRESOS_OPERACIONALES_2023,UTILIDAD_2023,ACTIVOS_2022,PASIVOS_2022,PATRIMONIO_2022,INGRESOS_OPERACIONALES_2022,UTILIDAD_2022,DIRECCION,TELEFONO,CELULAR,EMAIL,SUPERVISOR
5435,800164874,BALL COLOMBIA LTDA,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",0119,Otros cultivos transitorios n.c.p.,31.61122518822724,36465980000.0,31989775000.0,4476205000.0,44767608000.0,32588000.0,37891272000.0,33447655000.0,4443617000.0,42206184000.0,413388000.0,CR 7 84A 29 OFC 1102,3900900,3102699030,ccifuentes@ballcolombia.com,SUPERSOCIEDADES
5436,900576718,SJ SEGURIDAD PRIVADA LTDA .,76,VALLE DEL CAUCA,76001,SANTIAGO DE CALI,8010,Actividades de seguridad privada,,15374895000.0,9767094000.0,5607801000.0,44755130000.0,896589000.0,10845464000.0,6134252000.0,4711212000.0,25831281000.0,426030000.0,,,,,SUPERVIGILANCIA
5437,860015555,COOPERATIVA INTEGRAL DE PRODCUTORES DE CARBON,25,CUNDINAMARCA,25899,ZIPAQUIRÁ,4661,"Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos",,18795629255.0,7819401044.0,10976228211.0,44719014349.0,251663832.0,18892399097.0,8179333595.0,10713065502.0,42361187210.0,120621405.0,,,,,SUPERTRANSPORTE
5438,900133780,MOLINO SAN ISIDRO DEL HUILA LTDA,41,HUILA,41132,CAMPOALEGRE,1051,Elaboración de productos de molinería,16.947296372347708,24682601000.0,16499283000.0,8183318000.0,44715728000.0,344719000.0,27865652000.0,20027053000.0,7838599000.0,41933712000.0,615988000.0,KM 1 VIA SUR CAMPOALEGRE,3133502742,3133502742,molinosanisidro@yahoo.es,SUPERSOCIEDADES
5439,860037111,COLEMPAQUES SAS,25,CUNDINAMARCA,25473,MOSQUERA,2229,Fabricación de artículos de plástico n.c.p.,44.10951403148528,23862747000.0,8525302000.0,15337445000.0,44715464000.0,6819471000.0,17292034000.0,7474060000.0,9817974000.0,40037328000.0,3547868000.0,KILOMETRO 13 VIA MOSQUERA,5312222,3123795846,contaduria1@colempaques.com,SUPERSOCIEDADES
5440,900694569,BUSES Y AUTOS DE COLOMBIA SA,08,ATLÁNTICO,08001,BARRANQUILLA,4511,Comercio de vehículos automotores nuevos,9.971252566735114,22691174000.0,21450048000.0,1241126000.0,44713576000.0,797875000.0,38186016000.0,36823351000.0,1362665000.0,44419156000.0,1130486000.0,CARRERA 56 N 74-74,3877105,3126980835,byacsa@busesyautos.com,SUPERSOCIEDADES
5441,900294478,AUTOTANQUES DE COLOMBIA SAS,68,SANTANDER,68001,BUCARAMANGA,4923,Transporte de carga por carretera,,50315239018.0,32591671427.0,17723567591.0,44668793142.0,46315575.0,50936761171.0,33259509156.0,17677252015.0,36849125138.0,41766025.0,,,,,SUPERTRANSPORTE
5442,890903475,EQUIPOS GLEASON SA,05,ANTIOQUIA,05001,MEDELLÍN,7730,"Alquiler y arrendamiento de otros tipos de maquinaria, equipo y bienes tangibles n.c.p.",63.00889801505818,69739505000.0,27867706000.0,41871799000.0,44664444000.0,6761599000.0,66731114000.0,27457025000.0,39274089000.0,36405496000.0,4151495000.0,CR 50 FF 8 SUR 27 OF 420,6044485050,3208670745,gerencia@equiposgleason.com,SUPERSOCIEDADES
5443,900936058,CLINICA REINA LUCIA SAS,68,SANTANDER,68081,BARRANCABERMEJA,8610,"Actividades de hospitales y clínicas, con internación",,18543812000.0,15958434000.0,2585378000.0,44638659000.0,977518000.0,13604055000.0,11997355000.0,1606700000.0,34176029000.0,368441000.0,,,,,SUPERSALUD
5444,890500309,CLINICA NORTE S.A.,54,NORTE DE SANTANDER,54001,SAN JOSÉ DE CÚCUTA,8610,"Actividades de hospitales y clínicas, con internación",,43742960000.0,18903537000.0,24839423000.0,44621893000.0,1910614000.0,38137851000.0,14555825000.0,23582026000.0,40326250000.0,2375333000.0,,,,,SUPERSALUD
5445,900941680,ACCESORIOS Y VALVULAS APOLO SAS,05,ANTIOQUIA,05360,ITAGÜÍ,2813,"Fabricación de otras bombas, compresores, grifos y válvulas",7.928815879534565,21706224000.0,11717711000.0,9988513000.0,44618644000.0,1816725000.0,19805771000.0,10189729000.0,9616042000.0,40734208000.0,1444254000.0,CR 42 NO 29A 49,6044482422,3186517518,contabilidad@apolo.net.co,SUPERSOCIEDADES
5446,800193010,PSL PROANALISIS SAS BIC,68,SANTANDER,68276,FLORIDABLANCA,7120,Ensayos y análisis técnicos,30.746064339493497,30687573000.0,11434246000.0,19253327000.0,44607856000.0,6321221000.0,27996541000.0,12264435000.0,15732106000.0,34479568000.0,4525911000.0,CALLE 200 10 77,6076444625,3105736135,contador@pslproanalisis.com,SUPERSOCIEDADES
5447,901164498,MINEXCOM S.A.S.,15,BOYACÁ,15215,CORRALES,4661,"Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos",5.842573579739904,10986670000.0,3794367000.0,7192303000.0,44605100000.0,2304619000.0,10251815000.0,5364131000.0,4887684000.0,38673148000.0,2022292000.0,kilometro 1 via Tasco,3103340107,3112309293,minexcomsas18@gmail.com,SUPERSOCIEDADES
5448,860042155,PROEMPAQUES SAS,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",2229,Fabricación de artículos de plástico n.c.p.,49.045859000684466,35624117000.0,9750424000.0,25873693000.0,44604064000.0,7745646000.0,39029675000.0,12405967000.0,26623708000.0,48288128000.0,10627404000.0,KRA 42 20B 55,2692800,3184155797,Contabilidad@proempaques.com,SUPERSOCIEDADES
5449,860524282,SERRANO GOMEZ PRETECOR LTDA  ,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",2395,"Fabricación de artículos de hormigón, cemento y yeso",32.50102669404517,21235261000.0,8570673000.0,12664588000.0,44602912000.0,4252680000.0,20967748000.0,10355841000.0,10611907000.0,42798300000.0,3178529000.0,K.M. 2.5 VIA A SIBERIA FUNZA,8219015,3204926212,pretecorpostes@gmail.com,SUPERSOCIEDADES
5450,830017238,AL PHARMA SAS,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",4645,"Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador",27.975359342915812,35383742000.0,9515591000.0,25868151000.0,44598328000.0,2786018000.0,30905136000.0,6214839000.0,24690297000.0,40976216000.0,2577185000.0,AC 116 70C 12,6431177,3003117779,diana.enciso@alpharma.com.co,SUPERSOCIEDADES
5451,901018880,TERES SAS,68,SANTANDER,68001,BUCARAMANGA,4631,Comercio al por mayor de productos alimenticios,7.274469541409993,8403351000.0,4994843000.0,3408508000.0,44586372000.0,978857000.0,8822541000.0,6392890000.0,2429651000.0,32454708000.0,719660000.0,BODEGA 3 LOCAL 102-103,3158001491,3158913931,gerenciacomercial@teres.com.co,SUPERSOCIEDADES
5452,817005385,MENNAR SAS,19,CAUCA,19001,POPAYÁN,4645,"Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador",21.585215605749486,24832904000.0,13294902000.0,11538002000.0,44568096000.0,2703172000.0,16356221000.0,7521330000.0,8834891000.0,28637252000.0,1059163000.0,CR 6A NRO. 10N-88,8333003,3232298264,mennarsas@hotmail.com,SUPERSOCIEDADES
5453,900577381,BERDEZ SAS,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",4111,Construcción de edificios residenciales,11.126625598904859,87030338000.0,42908093000.0,44122245000.0,44550628000.0,6385835000.0,71494070000.0,38836664000.0,32657406000.0,61643008000.0,11129495000.0,CALLE 93 #14-20 OFI 501,6016102400,3223652913,GRUPOBERDEZ@GMAIL.COM,SUPERSOCIEDADES
5454,811017920,INDUSTRIA DE GALLETAS GRECO S.A.,05,ANTIOQUIA,05308,GIRARDOTA,1081,Elaboración de productos de panadería,24.97741273100616,35471457000.0,24360417000.0,11111040000.0,44550096000.0,702514000.0,32520649000.0,22112123000.0,10408526000.0,42204372000.0,1278531000.0,Aut Norte Km 20 Vereda San Esteban,6042893390,3108453876,galletasgreco@une.net.co,SUPERSOCIEDADES
5455,900534356,WORLD OFFICE COLOMBIA SAS,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",6201,"Actividades de desarrollo de sistemas informáticos (planificación, análisis, diseño, programación, pruebas)",11.515400410677618,114566246000.0,12533869000.0,102032377000.0,44524492000.0,9327159000.0,108870677000.0,16165458000.0,92705219000.0,51858448000.0,20465648000.0,AC 26 69 D 91 TO 1 OF 805,6017451010,3102139772,CONTACTENOS@WORLDOFFICE.COM.CO,SUPERSOCIEDADES
5456,900657956,MOLIENDA DE LA SABANA SAS,25,CUNDINAMARCA,25817,TOCANCIPÁ,2394,"Fabricación de cemento, cal y yeso",10.327173169062286,111966013000.0,85921609000.0,26044404000.0,44519000000.0,-4407769000.0,100761073000.0,70308900000.0,30452173000.0,72204696000.0,-1880762000.0,KM 1.5 VIA BRICEÑO ZIPAQUIRA ZONA FRANCA TOCANCIPA,8697700,3118100021,lucy.g@fortecem.net,SUPERSOCIEDADES
5457,900588276,GB BIOPACOL ANDINA SAS,66,RISARALDA,66001,PEREIRA,1709,Fabricación de otros artículos de papel y cartón,10.913073237508556,42006844000.0,44451323000.0,-2444479000.0,44510720000.0,-1636209000.0,52627720000.0,53435990000.0,-808270000.0,55181904000.0,-5298220000.0,CARRETERA PEREIRA CARTAGO PARAJE LA MARINA,6022095009,3202113049,info@gbbiopacol.com,SUPERSOCIEDADES
5458,900212550,ALMACENES LA 13 SAS,76,VALLE DEL CAUCA,76001,SANTIAGO DE CALI,4644,Comercio al por mayor de aparatos y equipo de uso doméstico,15.797399041752225,16232229000.0,11012830000.0,5219399000.0,44510260000.0,214102000.0,14348646000.0,9088944000.0,5259702000.0,37630788000.0,1809686000.0,CALLE 13 8 52,8893333,3175757105,contador@almacenesla13.com,SUPERSOCIEDADES
5459,900196346,ESE HOSPITAL NUESTRA SEÑORA DEL CARMEN,13,BOLÍVAR,13244,EL CARMEN DE BOLÍVAR,8610,"Actividades de hospitales y clínicas, con internación",,23359445000.0,15220073000.0,8139372000.0,44499125000.0,1340406000.0,20707057000.0,13908091000.0,6798966000.0,38189713000.0,2909073000.0,,,,,SUPERSALUD
5460,822006178,GELANOVA SAS,50,META,50001,VILLAVICENCIO,4711,"Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco",20.840520191649556,9255226000.0,4221767000.0,5033459000.0,44496832000.0,1099623000.0,10632299000.0,6698463000.0,3933836000.0,44103472000.0,957116000.0,CL 9 N° 12C 24,6705757,3202725597,gelanova@hotmail.com,SUPERSOCIEDADES
5461,800020274,C.I. CULTIVOS MIRAMONTE S.A.S. EN REORGANIZACION,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",0125,Cultivo de flor de corte,36.18891170431211,34502834000.0,12870626000.0,21632208000.0,44494960000.0,-778108000.0,33407796000.0,36030959000.0,-2623163000.0,38957448000.0,-653670000.0,CALLE 97 N° 23 - 60 OFICINA 702 TORRE PROKSOL,6018910444,3208654558,mirnotificaciones@eliteflower.com,SUPERSOCIEDADES
5462,800089872,DISMEL LTDA,13,BOLÍVAR,13836,TURBACO,4632,Comercio al por mayor de bebidas y tabaco,33.8507871321013,33621560000.0,29197842000.0,4423718000.0,44493620000.0,728227000.0,32235615000.0,28540124000.0,3695491000.0,45507372000.0,544527000.0,CENTRO INDUSTRIAL TERNERA# 1 BODEGA 3B,6539900,3145813569,contabilidad@dismelltda.com,SUPERSOCIEDADES
5463,901382101,GRUPO SOL DE ORIENTE S.A.S.,05,ANTIOQUIA,05360,ITAGÜÍ,4631,Comercio al por mayor de productos alimenticios,3.7399041752224504,8207246000.0,6514288000.0,1692958000.0,44480472000.0,584601000.0,8260026000.0,7151669000.0,1108357000.0,36341952000.0,405381000.0,CR 42 54 A 71 IN 120,3760657,3206722727,gerencia@distribuidorasoldeoriente.com,SUPERSOCIEDADES
5464,830140289,MECTRONICS S.A.,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",4520,Mantenimiento y reparación de vehículos automotores,19.89869952087611,27598996000.0,13965945000.0,13633051000.0,44479400000.0,2791275000.0,27165794000.0,16324019000.0,10841775000.0,41141520000.0,2053091000.0,CALLE 20C NRO 44 41,4841660,3214946593,gerencia@mectronics.co,SUPERSOCIEDADES
5465,812006492,SUCESORES DE CESAR VASQUEZ LTDA,23,CÓRDOBA,23001,MONTERÍA,1062,"Descafeinado, tostión y molienda del café",1.108829568788501,13978497000.0,7643087000.0,6335410000.0,44476960000.0,193247000.0,11148177000.0,4524055000.0,6624122000.0,40772108000.0,410060000.0,CR 14 50 05,7890736,3205310071,recepcion_cafecordoba@hotmail.com,SUPERSOCIEDADES
5466,900040754,SERBAN COLOMBIA SAS,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",4741,"Comercio al por menor de computadores, equipos periféricos, programas de informática y equipos de telecomunicaciones en establecimientos especializados",18.431211498973305,28522830000.0,18204628000.0,10318202000.0,44475420000.0,1345074000.0,21044802000.0,11273475000.0,9771327000.0,54421936000.0,2996667000.0,CR 13 98 70 OF 301 ED OCHIC,6016583333,3132397696,Lsuarez@serbangroup.com,SUPERSOCIEDADES
5467,800197217,CLINICA DE ESPECIALISTAS MARIA AUXILIADORA S.A.S.,20,CESAR,20011,AGUACHICA,8610,"Actividades de hospitales y clínicas, con internación",,29395239000.0,14993434000.0,14401805000.0,44473722000.0,1746544000.0,25517304000.0,11862042000.0,13655262000.0,39939606000.0,3427335000.0,,,,,SUPERSALUD
5468,900323278,CI DISTRIBUCIONES SYE SAS,08,ATLÁNTICO,08078,BARANOA,4663,"Comercio al por mayor de materiales de construcción, artículos de ferretería, pinturas, productos de vidrio, equipo y materiales de fontanería y calefacción",14.132785763175907,38511371000.0,20410419000.0,18100952000.0,44470688000.0,1425568000.0,37331826000.0,22082009000.0,15249817000.0,49645720000.0,1971352000.0,CALLE 80 # 43-36,3560688,3133933850,contabilidad@distribucionessye.com,SUPERSOCIEDADES
5469,811022474,RP DENTAL SA,05,ANTIOQUIA,05001,MEDELLÍN,4773,"Comercio al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en establecimientos especializados",3.8193018480492813,52123508000.0,28211648000.0,23911860000.0,44463544000.0,2682994000.0,43747029000.0,23218163000.0,20528866000.0,36618168000.0,1691455000.0,CR 48 NO 10  45 OF 1005 CENTRO COMERCIAL MONTERREY,2669127,3104131972,info@rpdentalsa.com,SUPERSOCIEDADES
5470,805012299,CODESA,76,VALLE DEL CAUCA,76001,SANTIAGO DE CALI,6201,"Actividades de desarrollo de sistemas informáticos (planificación, análisis, diseño, programación, pruebas)",25.180013689253936,28147090000.0,13648483000.0,14498607000.0,44435188000.0,63267000.0,26217580000.0,11777275000.0,14440305000.0,39444680000.0,587531000.0,CL 22 N 6 A 52,8990606,3015603233,notificaciones@codesa.com.co,SUPERSOCIEDADES
5471,806012960,FUNDACION SER,13,BOLÍVAR,13001,CARTAGENA DE INDIAS,8610,"Actividades de hospitales y clínicas, con internación",,30543206000.0,8942719000.0,21600487000.0,44422459000.0,2468536000.0,30472495000.0,8596196000.0,21876299000.0,41138467000.0,3871652000.0,,,,,SUPERSALUD
5472,860029415,EMPRESA COLOMBIANA DE CLAVOS EMCOCLAVOS S.A.S.,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",2599,Fabricación de otros productos elaborados de metal n.c.p.,49.80150581793292,80962521000.0,36490385000.0,44472136000.0,44420740000.0,513174000.0,88585711000.0,44626748000.0,43958963000.0,42983736000.0,-1303103000.0,CR 106 A 153 A 11,6391350,3184010549,sandy.melo@mustad.com,SUPERSOCIEDADES
5473,901038645,MOTA-ENGIL LATAM COLOMBIA SAS,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",4210,Construcción de carreteras y vías de ferrocarril,7.019849418206708,155889790000.0,143846036000.0,12043754000.0,44408660000.0,-250047000.0,189187905000.0,176841900000.0,12346005000.0,88866696000.0,3204353000.0,"Cl 81 11-08, Piso 9. Edificio Empresarial Master 8111",4824821,3222742288,mecolombia@mota-engil.co,SUPERSOCIEDADES
5474,814002830,DISTRITIENDAS DE NARIÑO LTDA C.I.,52,NARIÑO,52001,PASTO,4631,Comercio al por mayor de productos alimenticios,23.808350444900753,7524965000.0,7126316000.0,398649000.0,44402088000.0,-1801075000.0,7937081000.0,5398133000.0,2538948000.0,55285808000.0,7812000.0,CR 51  18 219 TOROBAJO,7225624,3152697707,betobuiles@gmail.com,SUPERSOCIEDADES
5475,900332426,DISTRIBUIDORA SICMAFARMA SAS,25,CUNDINAMARCA,25214,COTA,4645,"Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador",13.984941820670773,36215765000.0,19170324000.0,17045441000.0,44400208000.0,1381269000.0,42479184000.0,29861452000.0,12617732000.0,36206404000.0,-5143425000.0,KM 1 VIA SIBERIA FUNZA ZF PERMANENTE INTEXZONA LT 55,9171737,3166197490,acvillamizar@sicmafarma.com,SUPERSOCIEDADES
5476,860079024,REPRESENTACIONES DEL MUNDO SAS REPREMUNDO,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",5210,Almacenamiento y depósito,43.08555783709788,51354169000.0,17079209000.0,34274960000.0,44380668000.0,3683279000.0,49409903000.0,18809530000.0,30600373000.0,39356684000.0,4901237000.0,AK 97 24 C 80,6014252600,3114801559,camilo.serrano@repremundo.com.co,SUPERSOCIEDADES
5477,900431015,DISTRIBUIDORA CHALO´S S.A.S.,47,MAGDALENA,47001,SANTA MARTA,4711,"Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco",12.733744010951403,7872441000.0,6446893000.0,1425548000.0,44378952000.0,683003000.0,6425346000.0,5131609000.0,1293737000.0,42141660000.0,1218654000.0,CRA 16 # 6-23,6054315910,3178936076,recepcion@chalos.com.co,SUPERSOCIEDADES
5478,800153970,VITRAL TEXITL SAS,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",4641,"Comercio al por mayor de productos textiles, productos confeccionados para uso doméstico",31.89869952087611,43181808000.0,25883221000.0,17298587000.0,44377096000.0,2521325000.0,44255423000.0,29478162000.0,14777261000.0,46927744000.0,2278986000.0,CALLE 20 69B 41,4244483,3115169052,vitraltextil@vitraltextil.com,SUPERSOCIEDADES
5479,900709192,SOCIEDAD G & GIRALDO SAS,17,CALDAS,17001,MANIZALES,4711,"Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco",9.817932922655714,6928597000.0,3265057000.0,3663540000.0,44368272000.0,729147000.0,6909235000.0,3974842000.0,2934393000.0,41929344000.0,990308000.0,CR 23 16 27,6068820730,3187164046,supermercadounoacentro@hotmail.com,SUPERSOCIEDADES
5480,800002942,ITELCA  SAS,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",6190,Otras actividades de telecomunicaciones,36.75290896646133,40515241000.0,6570308000.0,33944933000.0,44368216000.0,1864101000.0,40461676000.0,8380844000.0,32080832000.0,51756740000.0,1128814000.0,CL 94 47 25,3207783733,3207783733,info@itelca.com.co,SUPERSOCIEDADES
5481,900164370,BIOPRODUCTOS LATIONOAMERICA SAS,05,ANTIOQUIA,05088,BELLO,4620,Comercio al por mayor de materias primas agropecuarias; animales vivos,16.432580424366872,7778506000.0,1404049000.0,6374457000.0,44367568000.0,1080985000.0,9224758000.0,2185066000.0,7039692000.0,54142768000.0,1055801000.0,AV 36 C DIAG 42 CC 2,4825853,3137440379,mariagardeniag@gmail.com,SUPERSOCIEDADES
5482,900702986,OPERLOG COLOMBIA SAS,25,CUNDINAMARCA,25286,FUNZA,4923,Transporte de carga por carretera,,13247319075.0,11187784167.0,2059534908.0,44364982143.0,680933192.0,10001127435.0,8622525718.0,1378601717.0,35223549757.0,242673114.0,,,,,SUPERTRANSPORTE
5483,900164089,PROMOTORA DE INVERSIONES Y COBRANZAS S.A.S,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",8291,Actividades de agencias de cobranza y oficinas de calificación crediticia,16.438056125941138,117073427000.0,47380014000.0,69693413000.0,44333112000.0,13402333000.0,67180514000.0,10889434000.0,56291080000.0,70279216000.0,26604517000.0,CL 72 10 51 PISO 11,5802530,3173007728,notificaciones@promotoradeinversionesycobranzas.com,SUPERSOCIEDADES
5484,901158454,COMERCIALIZADORA DE COMBUSTIBLES PINAR DEL RIO SAS,54,NORTE DE SANTANDER,54405,LOS PATIOS,4731,Comercio al por menor de combustible para automotores,5.853524982888432,6127449000.0,2488130000.0,3639319000.0,44329152000.0,738090000.0,6363582000.0,3462353000.0,2901229000.0,38349700000.0,1075033000.0,AV 10 NO 61 - 60 LOTE 1 OFICINAS ADMINISTRATIVAS ESTACIÓN DE SERVICIO PINAR DEL RIO,6075840151,3003002014,espinardelrio@gmail.com,SUPERSOCIEDADES
5485,805015921,MEGAPROYECTOS DE ILUMINACIONES DE COLOMBIA SAS,76,VALLE DEL CAUCA,76001,SANTIAGO DE CALI,4321,Instalaciones eléctricas,23.942505133470227,33925334000.0,16885212000.0,17040122000.0,44304512000.0,1386816000.0,28128796000.0,12475490000.0,15653306000.0,37142040000.0,1589432000.0,CL 9A 45 TO 02 OFIC,6028900901,3136864212,notificaciones@megaproyectos.co,SUPERSOCIEDADES
5486,901001234,"CUATRECASAS, GONÇALVES PEREIRA S.A.S ",11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",6910,Actividades jurídicas,7.403148528405202,40398332000.0,11056254000.0,29342078000.0,44286824000.0,271565000.0,33564644000.0,9595530000.0,23969114000.0,32449324000.0,2312343000.0,CR 11 79 35 OF 701,7953030,3007673388,Bogota@cuatrecasas.com,SUPERSOCIEDADES
5487,900379324,SOLUCIONES Y PARTES S.A.S,05,ANTIOQUIA,05001,MEDELLÍN,4653,Comercio al por mayor de maquinaria y equipo agropecuarios,13.330595482546201,25236146000.0,16902926000.0,8333220000.0,44284604000.0,3029659000.0,21098333000.0,15794782000.0,5303551000.0,29691208000.0,962578000.0,Calle 19 A 43 B 70,6044488471,3245421209,CONTABILIDAD@SOLUCIONESYPARTES.COM,SUPERSOCIEDADES
5488,900504241,CAMARCA SAS,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",4923,Transporte de carga por carretera,,72282156354.0,40590769998.0,31691386356.0,44282894650.0,10004212380.0,67761539079.0,35775480775.0,31986058304.0,33021517188.0,7249441545.0,,,,,SUPERTRANSPORTE
5489,900955387,MIRAGE COLOMBIA SAS,76,VALLE DEL CAUCA,76001,SANTIAGO DE CALI,4644,Comercio al por mayor de aparatos y equipo de uso doméstico,7.756331279945243,49348092000.0,6592980000.0,42755112000.0,44276516000.0,4228605000.0,43840037000.0,5313530000.0,38526507000.0,45727484000.0,-1407267000.0,AV 8 NORTE 22 06,3176849227,3176849227,proveedor@airesmirage.co,SUPERSOCIEDADES
5490,900112104,METROPOLITANA DE COMBUSTIBLE SAS,08,ATLÁNTICO,08001,BARRANQUILLA,4731,Comercio al por menor de combustible para automotores,17.22108145106092,17278408000.0,6601957000.0,10676451000.0,44274972000.0,496880000.0,16378904000.0,6199333000.0,10179571000.0,33198112000.0,529119000.0,AV CIRCUNVALAR N. 43-75,3403195,3205821191,DIRECTORCONTABLE@METROCOMBUSTIBLE.CO,SUPERSOCIEDADES
5491,860028947,"CONGREGACIÓN DE HERMANAS FRANCISCANAS MISIONERAS DE MARÍA AUXILIADORA, REGIÓN MISIONERA SANTA MARÍA BERNARDA.",11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",8621,"Actividades de la práctica médica, sin internación",,83813996000.0,6420718000.0,77393278000.0,44256549000.0,3490369000.0,90831531000.0,7131314000.0,83700217000.0,40905432000.0,3021277000.0,,,,,SUPERSALUD
5492,901334132,VMWARE COLOMBIA S.A.S.,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",6311,"Procesamiento de datos, alojamiento (hosting) y actividades relacionadas",4.188911704312115,19199218000.0,13501029000.0,5698189000.0,44255360000.0,-4921565000.0,14830057000.0,7062963000.0,7767094000.0,39849648000.0,-1519580000.0,Cr 7 No. 71 - 52 To B P 9,6017467000,3187678853,bernardo.cardenas@dentons.com,SUPERSOCIEDADES
5493,900416879,COMPAÑÍA NACIONAL DE CARGA CONALCA S.A.S,13,BOLÍVAR,13001,CARTAGENA DE INDIAS,4923,Transporte de carga por carretera,,63474096000.0,49888879000.0,13585217000.0,44240854000.0,1031639000.0,61337166000.0,48783588000.0,12553578000.0,37948723000.0,2749422000.0,,,,,SUPERTRANSPORTE
5494,901345675,ROLPARTS SAS,05,ANTIOQUIA,05001,MEDELLÍN,4530,"Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",4.147843942505133,19729547000.0,12877903000.0,6851644000.0,44232784000.0,2308490000.0,22001331000.0,17458077000.0,4543254000.0,39753592000.0,1363244000.0,CALLE 40A 53 40,4444808,3122968646,contabilidad@cdr.net.co,SUPERSOCIEDADES
5495,901439493,GRUPO UMA VC S.A.S,63,QUINDÍO,63001,ARMENIA,3091,Fabricación de motocicletas,3.0417522245037647,24878731000.0,17406580000.0,7472151000.0,44228996000.0,3548915000.0,37984329000.0,34061093000.0,3923236000.0,46463876000.0,3908703000.0,"KM 3 VIA EL EDEN-VEREDA SANTA ANA, LOTE 1, LA RIVERA",3057342896,3057342896,gestioncontable@grupouma.com,SUPERSOCIEDADES
5496,890307989,MARSH & MCLENNAN COLOMBIA SAS,76,VALLE DEL CAUCA,76001,SANTIAGO DE CALI,6499,"Otras actividades de servicio financiero, excepto las de seguros y pensiones n.c.p.",50.08350444900753,191517416000.0,159253000.0,191358163000.0,44214312000.0,55437904000.0,186568203000.0,774015000.0,185794188000.0,58290608000.0,57901162000.0,CALLE 67N  6N 85,3985000,3202304129,notificacionesjudiciales@marsh.com,SUPERSOCIEDADES
5497,901051404,LACTOINSUMOS COMERCIALIZADORA PRODUCTOS LACTEOS S.A.S.,05,ANTIOQUIA,05001,MEDELLÍN,4631,Comercio al por mayor de productos alimenticios,6.893908281998631,13579877000.0,9583258000.0,3996619000.0,44203376000.0,1078273000.0,10887857000.0,7966285000.0,2921572000.0,47997852000.0,588592000.0,Carrera 67 # 78 - 280 bodega 102,6045018949,3167836880,evalderrama@lactoinsumos.com,SUPERSOCIEDADES
5498,860502994,CARLOS NIETO Y CIA SAS,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",4771,Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados,42.32443531827516,34868353000.0,12766651000.0,22101702000.0,44200864000.0,4664330000.0,31903921000.0,13628425000.0,18275496000.0,41304688000.0,5160286000.0,CL 73 20 C 19,2012100181,3176571299,direccioncontable@carlosnieto.com.co,SUPERSOCIEDADES
5499,901078063,CPL AROMAS SAS,25,CUNDINAMARCA,25817,TOCANCIPÁ,2029,Fabricación de otros productos químicos n.c.p.,6.683093771389459,40244517000.0,7440022000.0,32804495000.0,44199760000.0,4227729000.0,41179446000.0,10172192000.0,31007254000.0,36760456000.0,2124723000.0,KM 1.5 VIA BRICEÑO ZIPAQUIRA ZFTOCANCIPA BG 18,3208503877,3108843097,rosalba.gonzalez@cplaromas.com,SUPERSOCIEDADES
